x,y,group
183,35,A
16,6,A
164,22,A
176,37,A
193,44,A
182,36,A
5,69,A
100,4,A
155,64,A
40,37,A
179,29,A
146,12,A
168,20,A
184,79,A
119,82,A
154,44,A
177,49,A
152,32,A
35,16,A
30,20,A
71,3,A
86,79,A
20,71,A
11,77,A
192,17,A
32,2,A
21,49,A
25,32,A
181,48,A
197,40,A
174,9,A
55,48,A
126,4,A
168,20,A
69,81,A
34,30,A
99,42,A
60,2,A
194,62,A
187,38,A
168,20,A
196,29,A
186,20,A
174,25,A
11,63,A
2,27,A
36,40,A
153,3,A
178,5,A
30,20,A
83,42,A
104,83,A
43,4,A
59,5,A
180,43,A
24,42,A
3,24,A
19,49,A
128,83,A
133,75,A
8,54,A
12,50,A
30,20,A
185,36,A
180,7,A
191,27,A
168,20,A
178,47,A
171,9,A
21,40,A
164,15,A
182,35,A
56,3,A
171,8,A
164,20,A
168,20,A
169,83,A
148,28,A
25,53,A
61,16,A
30,20,A
151,66,A
192,70,A
194,65,A
180,41,A
35,9,A
13,43,A
99,42,A
139,55,A
32,64,A
30,64,A
50,82,A
65,14,A
30,20,A
196,67,A
115,80,A
178,46,A
130,71,A
144,33,A
182,48,A
134,46,A
159,42,A
174,82,A
170,48,A
28,34,A
30,42,A
34,43,A
30,20,A
18,36,A
37,41,A
24,50,A
99,42,A
163,45,A
99,42,A
15,36,A
30,20,A
139,39,A
120,71,A
190,73,A
63,22,A
179,49,A
30,64,A
116,44,A
51,50,A
159,45,A
168,64,A
140,16,A
168,64,A
172,45,A
166,66,A
181,40,A
182,38,A
182,36,A
182,43,A
119,20,A
31,46,A
145,77,A
184,36,A
175,42,A
184,41,A
99,42,A
36,57,A
99,42,A
14,7,A
64,39,A
168,64,A
29,60,A
30,64,A
14,50,A
197,59,A
89,2,A
164,56,A
47,83,A
49,83,A
31,74,A
37,78,A
168,64,A
173,42,A
180,36,A
180,29,A
181,50,A
99,42,A
33,83,A
166,76,A
168,64,A
23,55,A
39,43,A
30,20,A
31,13,A
46,67,A
38,50,A
33,41,A
99,42,A
44,61,A
8,76,A
26,29,A
72,14,A
12,32,A
99,42,A
114,65,A
30,64,A
38,5,A
22,40,A
30,64,A
13,69,A
44,22,A
26,33,A
30,20,A
0,52,A
13,37,A
30,20,A
159,72,A
175,60,A
79,20,A
173,72,A
90,65,A
13,35,A
99,42,A
119,20,A
103,61,A
168,20,A
163,42,A
186,59,A
168,64,A
25,36,A
2,27,A
55,5,A
30,20,A
183,7,A
168,20,A
176,28,A
158,80,A
160,36,A
22,52,A
99,42,A
43,71,A
166,65,A
14,30,A
29,42,A
99,42,A
137,65,A
178,29,A
168,20,A
168,20,A
197,41,A
